solver_type,knn_neighbors,accuracy
1,3,0.059213433495360145
1,5,0.06053910737958462
1,7,0.05656208572691118
5,3,0.06053910737958462
5,5,0.05877154220061865
5,7,0.053468846663720725
7,3,0.06363234644277507
7,5,0.06407423773751657
7,7,0.058329650905877155
13,3,0.12593901900132567
13,5,0.13256738842244808
13,7,0.13654441007512153
